Gossip Runtime,Num. of Events,Num. of Consensus Events
1581.209,30599,30585
1584.256,30661,30653
1587.366,30717,30698
1590.423,30776,30759
1593.396,30839,30830
1596.429,30892,30867
1599.459,30958,30937
1602.672,31018,31009
1605.786,31072,31057
1608.836,31129,31119
1611.943,31194,31179
1615.109,31255,31244
1618.182,31314,31293
1621.339,31376,31367
1624.329,31435,31415
1627.359,31489,31473
1630.593,31548,31532
1633.719,31612,31596
1636.819,31672,31652
1639.762,31732,31719
1642.779,31792,31773
1645.919,31854,31830
1648.942,31912,31897
1652.072,31970,31945
1655.166,32028,32010
1658.282,32089,32076
1661.339,32148,32136
1664.423,32209,32198
1667.736,32267,32250
1670.826,32330,32320
1673.879,32388,32372
1677.099,32449,32435
1680.076,32506,32496
1683.133,32566,32552
1686.213,32620,32599
1689.303,32681,32670
1692.466,32741,32724
1695.516,32801,32783
1698.806,32860,32853
1701.889,32912,32893
1705.829,32980,32961
1708.966,33042,33027
1712.146,33101,33092
1715.243,33160,33136
1718.363,33224,33200
1721.509,33281,33271
1724.549,33337,33322
1727.646,33398,33387
1730.729,33455,33434
1733.813,33518,33507
1736.923,33576,33555
1740.006,33632,33613
1743.159,33696,33677
1746.156,33754,33734
1749.302,33804,33789
1752.453,33876,33862
1755.653,33933,33915
1758.899,33992,33979
1761.989,34050,34037
1765.106,34112,34094
1768.362,34169,34157
1771.419,34232,34220
1774.572,34287,34270
1777.753,34351,34334
1780.852,34408,34390
1784.006,34470,34448
1787.056,34527,34514
1790.216,34589,34577
1793.279,34641,34619
1796.226,34704,34692
1799.319,34762,34747
1802.476,34820,34800
1805.679,34878,34863
1809.429,34938,34926
1812.626,34994,34976
1815.723,35056,35043
1818.906,35116,35088
1822.176,35170,35160
1825.239,35232,35211
1828.249,35289,35283
1831.306,35347,35327
1834.429,35412,35400
1837.669,35474,35462
1840.649,35530,35513
1843.809,35591,35582
1846.892,35649,35634
1850.116,35708,35691
1853.299,35770,35746
1856.522,35828,35810
1859.649,35886,35866
1862.809,35942,35915
1865.996,36006,35989
1869.046,36064,36051
1873.139,36124,36107
1876.246,36180,36166
1879.313,36241,36226
1882.309,36297,36288
1885.566,36350,36332
1888.702,36418,36404
1891.826,36476,36463
1894.872,36523,36513
1898.089,36590,36569
1901.363,36654,36645
1904.612,36714,36697
1907.899,36773,36751
1911.043,36832,36820
1914.232,36890,36882
1917.486,36950,36932
1920.619,37007,36980
1923.742,37069,37043
1926.913,37124,37101
1930.183,37188,37175
1933.356,37247,37230
1936.473,37305,37287
1939.789,37366,37335
1942.976,37423,37410
1946.039,37482,37467
1949.273,37541,37529
1953.266,37590,37565
1957.043,37665,37641
1960.339,37729,37720
1970.673,37787,37777
1973.819,37848,37837
1976.956,37907,37880
1980.276,37965,37953
1983.426,38024,38006
1986.646,38082,38067
1989.612,38139,38125
1992.826,38200,38186
1995.912,38261,38243
1999.036,38320,38304
2002.369,38380,38360
2005.453,38436,38420
2008.633,38494,38475
2011.756,38554,38531
2014.816,38613,38594
2018.006,38671,38660
2021.126,38727,38717
2024.306,38787,38769
2027.429,38846,38833
2030.536,38907,38896
2033.696,38964,38947
2036.836,39025,39007
2039.892,39083,39060
2043.033,39136,39127
2046.176,39203,39189
2049.556,39260,39245
2052.733,39321,39297
