timestamp,total_events,consensus_events
21:08:31,1968,1954
21:08:32,1974,1959
21:08:33,1974,1959
21:08:34,1981,1966
21:08:36,1984,1972
21:08:37,1988,1972
21:08:38,1991,1978
21:08:39,1994,1978
21:08:40,1999,1985
21:08:41,2004,1985
21:08:42,2006,1992
21:08:43,2006,1992
21:08:44,2017,2001
21:08:45,2017,2001
21:08:46,2019,2007
21:08:47,2024,2013
21:08:48,2024,2013
21:08:49,2028,2013
21:08:50,2034,2021
21:08:51,2034,2021
21:08:52,2034,2021
21:08:54,2041,2025
21:08:55,2041,2025
21:08:56,2047,2035
21:08:57,2054,2041
21:08:58,2054,2041
21:08:59,2058,2041
21:09:00,2061,2048
21:09:01,2063,2048
21:09:02,2067,2056
21:09:03,2070,2056
21:09:04,2074,2062
21:09:05,2075,2062
21:09:06,2079,2062
21:09:07,2084,2069
21:09:08,2084,2069
21:09:09,2089,2074
21:09:10,2092,2074
21:09:11,2092,2074
21:09:13,2098,2083
21:09:14,2102,2091
21:09:15,2102,2091
21:09:16,2105,2091
21:09:17,2111,2098
21:09:18,2111,2098
21:09:19,2117,2104
21:09:20,2119,2104
21:09:21,2121,2104
21:09:22,2128,2113
21:09:23,2132,2119
21:09:24,2139,2126
21:09:25,2143,2126
21:09:26,2143,2126
21:09:27,2151,2132
21:09:28,2154,2138
21:09:29,2158,2138
21:09:31,2163,2138
21:09:32,2163,2146
21:09:33,2163,2146
21:09:34,2172,2155
21:09:35,2174,2155
21:09:36,2177,2163
21:09:37,2182,2163
21:09:38,2186,2171
21:09:39,2192,2171
21:09:40,2196,2178
21:09:41,2199,2178
21:09:42,2206,2187
21:09:43,2206,2187
21:09:44,2206,2187
21:09:45,2212,2197
21:09:46,2216,2203
21:09:47,2219,2203
21:09:48,2225,2210
21:09:50,2225,2210
21:09:51,2229,2210
21:09:52,2235,2218
21:09:53,2235,2218
21:09:54,2239,2226
21:09:55,2245,2226
21:09:56,2245,2226
21:09:57,2250,2235
21:09:58,2258,2241
21:09:59,2258,2241
21:10:00,2258,2241
21:10:01,2264,2248
21:10:02,2266,2248
21:10:03,2269,2248
21:10:04,2276,2259
21:10:05,2278,2259
21:10:07,2280,2265
21:10:08,2288,2274
21:10:09,2291,2274
21:10:10,2294,2280
21:10:11,2302,2289
21:10:12,2308,2296
21:10:13,2313,2296
21:10:14,2316,2303
21:10:15,2320,2303
21:10:16,2326,2310
21:10:17,2326,2310
21:10:18,2332,2317
21:10:19,2335,2317
21:10:20,2340,2325
21:10:21,2342,2325
21:10:22,2346,2331
21:10:23,2351,2331
21:10:25,2354,2342
21:10:26,2357,2342
21:10:27,2362,2348
21:10:28,2364,2348
21:10:29,2364,2348
21:10:30,2369,2354
21:10:31,2373,2362
21:10:32,2373,2362
21:10:33,2381,2367
21:10:34,2383,2367
21:10:35,2386,2374
21:10:36,2391,2374
21:10:37,2394,2380
21:10:38,2401,2380
21:10:39,2405,2388
21:10:40,2411,2395
21:10:41,2415,2404
21:10:42,2415,2404
21:10:44,2419,2410
21:10:45,2426,2410
21:10:46,2429,2415
21:10:47,2435,2421
21:10:48,2435,2421
21:10:49,2442,2429
21:10:50,2445,2429
21:10:51,2449,2436
21:10:52,2452,2436
21:10:53,2455,2443
21:10:54,2461,2443
21:10:55,2461,2443
21:10:56,2467,2451
21:10:57,2467,2451
21:10:58,2475,2455
21:10:59,2479,2465
21:11:00,2479,2465
21:11:01,2482,2470
21:11:02,2488,2479
21:11:04,2492,2484
21:11:05,2492,2484
21:11:06,2501,2488
21:11:07,2501,2488
21:11:08,2505,2488
21:11:09,2511,2494
21:11:10,2512,2494
21:11:11,2512,2494
21:11:12,2518,2502
21:11:13,2520,2502
21:11:14,2525,2509
21:11:15,2530,2518
21:11:16,2534,2518
21:11:17,2539,2523
21:11:18,2542,2523
21:11:19,2542,2523
21:11:20,2546,2531
21:11:21,2548,2531
21:11:23,2552,2538
21:11:24,2558,2547
21:11:25,2564,2552
21:11:26,2566,2552
21:11:27,2566,2552
21:11:28,2572,2556
21:11:29,2572,2556
21:11:30,2577,2562
21:11:31,2581,2569
21:11:32,2581,2569
21:11:33,2581,2569
21:11:34,2581,2569
21:11:35,2581,2569
21:11:36,2584,2574
21:11:37,2589,2582
21:11:38,2593,2582
21:11:39,2597,2582
21:11:41,2601,2586
21:11:42,2603,2586
21:11:43,2606,2591
21:11:44,2613,2602
21:11:45,2613,2602
21:11:46,2618,2602
21:11:47,2622,2607
21:11:48,2622,2607
21:11:49,2628,2607
21:11:50,2633,2613
21:11:51,2636,2623
21:11:52,2638,2623
21:11:53,2643,2631
21:11:54,2646,2631
21:11:55,2653,2637
21:11:56,2656,2637
21:11:58,2663,2641
21:11:59,2668,2651
21:12:00,2670,2651
21:12:01,2678,2659
21:12:02,2678,2659
21:12:03,2685,2667
21:12:04,2688,2673
21:12:05,2692,2673
21:12:06,2698,2681
21:12:07,2701,2681
21:12:08,2707,2681
21:12:09,2714,2689
21:12:10,2717,2699
21:12:11,2717,2699
21:12:12,2723,2710
21:12:13,2727,2710
21:12:15,2730,2718
21:12:16,2735,2722
21:12:17,2739,2722
21:12:18,2739,2722
21:12:19,2745,2732
21:12:20,2747,2732
21:12:21,2747,2732
21:12:22,2753,2737
21:12:23,2756,2745
21:12:24,2761,2745
21:12:25,2768,2750
21:12:26,2771,2757
21:12:27,2774,2757
21:12:28,2779,2767
21:12:29,2783,2767
21:12:30,2789,2772
21:12:31,2793,2781
21:12:33,2796,2781
21:12:34,2800,2786
21:12:35,2807,2793
21:12:36,2807,2793
21:12:37,2810,2802
21:12:38,2816,2808
21:12:39,2816,2808
21:12:40,2821,2808
21:12:41,2826,2812
21:12:42,2826,2812
21:12:43,2830,2817
21:12:44,2840,2825
21:12:45,2840,2825
21:12:46,2840,2825
21:12:47,2847,2832
21:12:48,2851,2838
21:12:50,2851,2838
21:12:51,2857,2843
21:12:52,2861,2843
21:12:53,2861,2843
21:12:54,2867,2852
21:12:55,2871,2859
21:12:56,2872,2859
21:12:57,2879,2865
21:12:58,2882,2865
21:12:59,2884,2865
21:13:00,2891,2873
21:13:01,2894,2881
21:13:02,2899,2889
21:13:03,2901,2889
21:13:04,2905,2893
21:13:05,2910,2893
21:13:06,2913,2898
21:13:07,2916,2898
21:13:09,2920,2907
21:13:10,2925,2914
21:13:11,2928,2922
21:13:12,2928,2922
21:13:13,2937,2926
21:13:14,2938,2926
21:13:15,2943,2930
21:13:16,2946,2930
21:13:17,2948,2930
21:13:18,2951,2938
21:13:19,2956,2945
21:13:20,2958,2945
21:13:21,2961,2945
21:13:22,2961,2945
21:13:23,2968,2952
21:13:25,2971,2958
21:13:26,2977,2966
21:13:27,2981,2966
21:13:28,2986,2972
21:13:29,2990,2972
21:13:30,2991,2972
21:13:31,2991,2972
21:13:32,2998,2979
21:13:33,3004,2988
21:13:34,3007,2988
21:13:35,3011,2995
21:13:36,3014,3001
21:13:37,3016,3001
21:13:38,3016,3001
21:13:39,3024,3010
